"","ppvt","momage","hs_degree"
"1",120,21,1
"2",89,17,0
"3",78,19,1
"4",42,20,0
"5",115,26,1
"6",97,20,0
"7",94,20,0
"8",68,24,1
"9",103,19,1
"10",94,24,1
"11",117,24,1
"12",64,29,1
"13",72,19,1
"14",104,23,1
"15",78,26,1
"16",62,22,0
"17",73,21,0
"18",79,21,1
"19",101,22,1
"20",88,25,1
"21",102,24,1
"22",107,26,1
"23",56,21,0
"24",102,22,1
"25",88,26,1
"26",92,23,1
"27",85,20,0
"28",102,29,1
"29",90,26,1
"30",97,28,1
"31",92,19,1
"32",98,23,1
"33",85,21,1
"34",92,28,1
"35",100,26,1
"36",86,19,1
"37",85,21,1
"38",56,20,1
"39",102,24,1
"40",106,23,1
"41",78,23,0
"42",58,24,1
"43",84,27,1
"44",61,28,1
"45",102,23,1
"46",56,24,1
"47",101,27,1
"48",46,20,1
"49",42,21,1
"50",108,22,1
"51",64,23,1
"52",97,24,1
"53",86,24,1
"54",82,19,1
"55",100,23,0
"56",104,23,1
"57",91,22,1
"58",102,23,1
"59",91,23,1
"60",101,17,0
"61",40,20,0
"62",86,19,1
"63",83,24,1
"64",73,22,1
"65",80,23,1
"66",98,21,1
"67",52,26,1
"68",92,26,1
"69",107,29,1
"70",94,22,1
"71",79,26,1
"72",75,19,0
"73",108,22,1
"74",77,23,1
"75",104,26,1
"76",104,26,1
"77",72,19,1
"78",109,24,1
"79",92,19,1
"80",69,25,1
"81",103,28,1
"82",109,27,1
"83",43,18,0
"84",61,21,1
"85",89,22,1
"86",75,23,0
"87",116,22,1
"88",104,29,1
"89",99,22,1
"90",75,23,0
"91",102,21,1
"92",106,24,1
"93",136,19,0
"94",67,22,1
"95",88,24,1
"96",82,27,1
"97",67,28,0
"98",87,21,1
"99",76,21,1
"100",72,21,1
"101",112,23,1
"102",112,24,1
"103",90,26,1
"104",95,26,0
"105",52,25,1
"106",70,20,1
"107",106,22,0
"108",97,22,0
"109",54,22,0
"110",98,25,1
"111",94,24,1
"112",109,22,1
"113",66,23,1
"114",114,24,1
"115",97,23,1
"116",91,23,1
"117",94,26,1
"118",87,24,0
"119",110,25,1
"120",38,22,1
"121",68,22,1
"122",58,23,1
"123",104,22,1
"124",84,25,1
"125",100,20,1
"126",82,22,0
"127",87,28,1
"128",113,27,1
"129",71,21,0
"130",50,24,0
"131",76,22,0
"132",59,21,0
"133",95,25,0
"134",120,26,1
"135",58,21,0
"136",73,23,1
"137",84,23,1
"138",111,18,0
"139",79,24,0
"140",93,20,0
"141",49,20,1
"142",101,20,1
"143",64,18,1
"144",90,22,1
"145",86,23,0
"146",95,20,1
"147",83,23,1
"148",84,20,1
"149",84,25,1
"150",41,19,0
"151",43,25,0
"152",42,26,0
"153",96,23,1
"154",83,26,1
"155",100,19,0
"156",101,25,1
"157",49,23,0
"158",86,23,1
"159",94,21,1
"160",56,23,1
"161",90,22,1
"162",80,24,1
"163",111,23,1
"164",119,19,1
"165",84,19,1
"166",67,20,0
"167",87,19,0
"168",73,25,0
"169",52,20,1
"170",77,22,1
"171",108,23,1
"172",104,21,1
"173",88,20,0
"174",103,27,0
"175",46,25,0
"176",74,19,1
"177",58,21,1
"178",76,23,1
"179",89,26,1
"180",45,22,1
"181",98,25,1
"182",104,23,1
"183",106,26,1
"184",113,20,1
"185",87,23,1
"186",80,19,0
"187",87,23,1
"188",76,24,0
"189",83,17,0
"190",69,24,1
"191",122,21,1
"192",68,19,1
"193",52,26,1
"194",92,28,1
"195",96,19,0
"196",102,24,1
"197",89,20,0
"198",57,22,0
"199",50,20,1
"200",83,23,1
"201",97,25,1
"202",126,19,1
"203",83,25,1
"204",90,25,1
"205",116,24,1
"206",44,25,1
"207",50,18,0
"208",68,23,1
"209",62,21,1
"210",67,26,1
"211",104,23,1
"212",110,26,1
"213",102,25,1
"214",69,20,1
"215",98,18,0
"216",79,22,1
"217",103,21,0
"218",104,18,0
"219",81,25,1
"220",144,25,1
"221",42,22,0
"222",77,24,1
"223",104,19,1
"224",95,24,1
"225",100,20,1
"226",50,23,0
"227",104,19,1
"228",119,26,1
"229",114,20,0
"230",136,23,1
"231",112,19,1
"232",87,24,1
"233",86,21,1
"234",52,27,1
"235",110,23,1
"236",90,21,1
"237",95,19,1
"238",41,25,0
"239",88,21,1
"240",105,20,1
"241",76,23,1
"242",78,21,0
"243",64,21,1
"244",113,24,1
"245",102,21,1
"246",65,22,1
"247",78,22,1
"248",122,22,1
"249",61,25,1
"250",109,22,0
"251",60,27,1
"252",109,27,1
"253",99,28,1
"254",61,25,1
"255",107,21,1
"256",86,21,1
"257",106,22,1
"258",100,23,1
"259",97,22,1
"260",93,28,1
"261",93,25,0
"262",60,22,1
"263",58,23,1
"264",94,23,1
"265",50,24,1
"266",111,28,1
"267",85,27,1
"268",81,17,1
"269",89,20,1
"270",90,24,1
"271",102,20,1
"272",100,18,0
"273",97,19,1
"274",105,21,1
"275",94,22,1
"276",56,22,1
"277",94,23,1
"278",72,21,1
"279",96,23,1
"280",99,20,1
"281",69,27,1
"282",98,21,1
"283",74,20,1
"284",94,23,1
"285",114,24,1
"286",60,22,0
"287",98,22,1
"288",105,25,1
"289",100,19,1
"290",94,21,1
"291",119,23,1
"292",83,23,1
"293",63,23,1
"294",76,26,0
"295",107,29,1
"296",90,21,1
"297",94,28,1
"298",64,24,1
"299",94,23,1
"300",84,21,1
"301",96,21,1
"302",47,18,1
"303",65,24,1
"304",64,18,0
"305",85,21,1
"306",113,24,1
"307",78,21,0
"308",56,19,1
"309",81,26,1
"310",87,19,1
"311",110,20,1
"312",108,29,1
"313",121,22,1
"314",98,25,1
"315",91,24,1
"316",86,25,1
"317",86,26,1
"318",63,20,1
"319",42,27,1
"320",70,25,1
"321",101,23,1
"322",102,24,1
"323",92,27,1
"324",83,20,1
"325",65,27,1
"326",104,20,0
"327",99,27,1
"328",104,29,1
"329",110,25,1
"330",74,22,1
"331",102,24,1
"332",104,23,1
"333",94,21,0
"334",54,23,0
"335",106,25,0
"336",41,18,0
"337",87,21,1
"338",92,24,0
"339",46,22,1
"340",110,27,1
"341",89,19,1
"342",109,24,1
"343",42,25,1
"344",87,21,1
"345",90,23,1
"346",105,23,1
"347",88,21,1
"348",87,22,1
"349",73,20,1
"350",102,24,0
"351",110,22,1
"352",99,22,1
"353",68,22,1
"354",95,26,1
"355",20,23,0
"356",117,24,1
"357",80,22,0
"358",65,21,0
"359",89,21,1
"360",65,22,1
"361",113,19,1
"362",121,19,1
"363",94,26,1
"364",92,26,1
"365",116,24,1
"366",94,24,1
"367",123,25,1
"368",106,26,1
"369",95,24,1
"370",76,20,1
"371",99,26,1
"372",58,23,1
"373",82,20,0
"374",96,27,1
"375",95,20,1
"376",79,25,1
"377",99,19,0
"378",113,26,1
"379",76,19,1
"380",100,26,1
"381",69,20,1
"382",83,28,0
"383",100,20,0
"384",98,22,1
"385",106,25,0
"386",93,22,1
"387",92,21,1
"388",115,27,1
"389",112,23,1
"390",77,22,1
"391",95,21,0
"392",109,25,1
"393",100,24,1
"394",93,27,1
"395",107,25,1
"396",87,21,1
"397",69,20,1
"398",80,25,0
"399",98,18,0
"400",81,22,1
